Item,Code,Price,Quantity,Category,Material,Finish
Kitchen Sink Farmhouse 30",KS-F30,485.00,1,Fixture,Fireclay,White
Kitchen Sink Farmhouse 33",KS-F33,565.00,1,Fixture,Fireclay,White
Kitchen Sink Farmhouse 36",KS-F36,645.00,1,Fixture,Fireclay,White
Kitchen Faucet Pull Down,KF-PD,245.00,1,Fixture,Stainless Steel,Brushed
Kitchen Faucet Pull Out,KF-PO,225.00,1,Fixture,Stainless Steel,Brushed
Kitchen Faucet Bridge Style,KF-BS,385.00,1,Fixture,Brass,Antique
Bathroom Sink Undermount 16",BS-U16,145.00,4,Fixture,Porcelain,White
Bathroom Sink Undermount 19",BS-U19,165.00,3,Fixture,Porcelain,White
Bathroom Sink Vessel Round,BS-VR,185.00,2,Fixture,Glass,Clear
Bathroom Sink Vessel Square,BS-VS,205.00,2,Fixture,Stone,Natural
Bathroom Faucet Single Handle,BF-SH,145.00,4,Fixture,Chrome,Polished
Bathroom Faucet Widespread,BF-WS,195.00,2,Fixture,Chrome,Polished
Bathroom Faucet Wall Mount,BF-WM,225.00,1,Fixture,Brass,Brushed
Kitchen Pendant Light Single,KPL-1,85.00,6,Lighting,Bronze,Oil Rubbed
Kitchen Pendant Light Triple,KPL-3,165.00,4,Lighting,Bronze,Oil Rubbed
Kitchen Chandelier 6 Light,KC-6,385.00,1,Lighting,Crystal,Clear
Kitchen Under Cabinet LED 24",KUC-24,65.00,8,Lighting,Aluminum,White
Kitchen Under Cabinet LED 36",KUC-36,85.00,6,Lighting,Aluminum,White
Kitchen Under Cabinet LED 48",KUC-48,105.00,4,Lighting,Aluminum,White
Kitchen Recessed Light 4",KR-4,25.00,12,Lighting,Aluminum,White
Kitchen Recessed Light 6",KR-6,35.00,8,Lighting,Aluminum,White
Bathroom Sconce Single,BS-1,65.00,8,Lighting,Nickel,Brushed
Bathroom Sconce Double,BS-2,89.00,6,Lighting,Nickel,Brushed
Bathroom Vanity Light 3 Bulb,BVL-3,125.00,3,Lighting,Chrome,Polished
Bathroom Vanity Light 4 Bulb,BVL-4,145.00,2,Lighting,Chrome,Polished
Bathroom Ceiling Light,BCL-1,85.00,4,Lighting,Nickel,Brushed
Bathroom Exhaust Fan 80CFM,BEF-80,125.00,2,Ventilation,Plastic,White
Bathroom Exhaust Fan 110CFM,BEF-110,145.00,1,Ventilation,Plastic,White
Kitchen Tile Backsplash Subway 3x6,KTB-S36,12.50,45,Tile,Ceramic,White
Kitchen Tile Backsplash Mosaic 1x1,KTB-M11,18.75,25,Tile,Glass,Mixed
Kitchen Tile Backsplash Herringbone,KTB-HB,22.50,20,Tile,Marble,Carrara
Kitchen Floor Tile 12x12,KFT-12,8.25,85,Tile,Porcelain,Wood Look
Kitchen Floor Tile 18x18,KFT-18,12.50,60,Tile,Porcelain,Stone Look
Kitchen Floor Tile 24x24,KFT-24,16.75,45,Tile,Porcelain,Concrete Look
Bathroom Floor Tile 6x6,BFT-6,6.50,150,Tile,Ceramic,White
Bathroom Floor Tile 12x12,BFT-12,8.75,120,Tile,Porcelain,Marble Look
Bathroom Floor Tile 12x24,BFT-1224,11.25,90,Tile,Porcelain,Wood Look
Bathroom Wall Tile 4x4,BWT-4,5.25,200,Tile,Ceramic,White
Bathroom Wall Tile 3x6 Subway,BWT-36,7.50,180,Tile,Ceramic,White
Bathroom Wall Tile 6x12,BWT-612,9.75,120,Tile,Porcelain,Marble Look
